token,predicted_tag,source
asfuglu,NN,outahajala.csv
n,S,outahajala.csv
usggwas,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
s,S,outahajala.csv
lmnd,NN,outahajala.csv
n,S,outahajala.csv
usggwas,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
amaynu,ADJ,outahajala.csv
",",PUNC,outahajala.csv
imnawayn,VB,outahajala.csv
asggwas,NN,outahajala.csv
ad,DT,outahajala.csv
d,S,outahajala.csv
2960,NUM,outahajala.csv
",",PUNC,outahajala.csv
isnmala,VB,outahajala.csv
usinag,NN,outahajala.csv
agldan,ADJ,outahajala.csv
n,S,outahajala.csv
tussna,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
ass,NN,outahajala.csv
n,S,outahajala.csv
15,NUM,outahajala.csv
innayr,NN,outahajala.csv
2010,NUM,outahajala.csv
",",PUNC,outahajala.csv
sg,S,outahajala.csv
tiss,DT,outahajala.csv
kṛaḍt,NN,outahajala.csv
d,C,outahajala.csv
uzgn,NN,outahajala.csv
n,S,outahajala.csv
tdggwat,NN,outahajala.csv
",",PUNC,outahajala.csv
yan,DT,outahajala.csv
iwiz,NN,outahajala.csv
adlsan,ADJ,outahajala.csv
d,C,outahajala.csv
win,PPOS,outahajala.csv
ummdrz,NN,outahajala.csv
.,PUNC,outahajala.csv
iswurri,VB,outahajala.csv
usinag,NN,outahajala.csv
afad,C,outahajala.csv
ig,VB,outahajala.csv
unmuqqar,NN,outahajala.csv
a,DT,outahajala.csv
yat,DT,outahajala.csv
tmlda,NN,outahajala.csv
nna,REL,outahajala.csv
rad,PRPR,outahajala.csv
nsskti,VB,outahajala.csv
ansay,NN,outahajala.csv
n,S,outahajala.csv
innayr,NN,outahajala.csv
ittilin,VBP,outahajala.csv
g,S,outahajala.csv
tsggiwin,NN,outahajala.csv
akkw,DT,outahajala.csv
n,S,outahajala.csv
tmazirt,NN,outahajala.csv
",",PUNC,outahajala.csv
idru,VB,outahajala.csv
gis,S_PP,outahajala.csv
tiram,NN,outahajala.csv
nna,REL,outahajala.csv
gis,S_PP,outahajala.csv
ittusmarn,VBP,outahajala.csv
.,PUNC,outahajala.csv
iga,VB,outahajala.csv
usggwas,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
",",PUNC,outahajala.csv
ittussan,VBP,outahajala.csv
s,S,outahajala.csv
innayr,NN,outahajala.csv
nɣ,C,outahajala.csv
iḍ,NN,outahajala.csv
n,S,outahajala.csv
usggwas,NN,outahajala.csv
nɣ,C,outahajala.csv
ḥaguza,NN,outahajala.csv
yan,DT,outahajala.csv
unsay,NN,outahajala.csv
aqbur,ADJ,outahajala.csv
n,S,outahajala.csv
tfriqt,NN,outahajala.csv
n,S,outahajala.csv
iẓlmḍ,NN,outahajala.csv
",",PUNC,outahajala.csv
ig,VB,outahajala.csv
yat,DT,outahajala.csv
tfrka,NN,outahajala.csv
tinttit,ADJ,outahajala.csv
g,S,outahajala.csv
tsmlussant,NN,outahajala.csv
